State ,Year,Area
Selangor,2011,250129
Selangor,2012,250129
Selangor,2013,250129
Selangor,2014,250129
Selangor,2015,250129
Selangor,2016,250129
Selangor,2017,250129
Selangor,2018,250210
Terengganu,2000,557661
Terengganu,2001,554322
Terengganu,2002,538667
Terengganu,2003,535929
Terengganu,2004,530162
Terengganu,2005,538063
Terengganu,2006,545818
Terengganu,2007,545818
Terengganu,2008,544118
Terengganu,2009,544118
Terengganu,2010,544118
Terengganu,2011,539234
Terengganu,2012,539232
Terengganu,2013,544855
Terengganu,2014,544937
Terengganu,2015,544937
Terengganu,2016,544883
Terengganu,2017,542411
Terengganu,2018,540309
W.P.Kuala Lumpur,2000,61
W.P.Kuala Lumpur,2001,61
W.P.Kuala Lumpur,2002,61
W.P.Kuala Lumpur,2003,61
W.P.Kuala Lumpur,2004,61
W.P.Kuala Lumpur,2005,61
W.P.Kuala Lumpur,2006,61
W.P.Kuala Lumpur,2007,61
W.P.Kuala Lumpur,2008,61
W.P.Kuala Lumpur,2009,63
W.P.Kuala Lumpur,2010,63
W.P.Kuala Lumpur,2011,63
W.P.Kuala Lumpur,2012,68
W.P.Kuala Lumpur,2013,68
W.P.Kuala Lumpur,2014,68
W.P.Kuala Lumpur,2015,68
W.P.Kuala Lumpur,2016,68
W.P.Kuala Lumpur,2017,68
W.P.Kuala Lumpur,2018,68
Sabah,2000,0
Sabah,2001,0
Sabah,2002,0
Sabah,2003,3563186
Sabah,2004,3543186
Sabah,2005,3523186
Sabah,2006,3503186
Sabah,2007,3604867
Sabah,2008,3604867
Sabah,2009,3604894
Sabah,2010,3606647
Sabah,2011,3606647
Sabah,2012,3609249
Sabah,2013,3614730
Sabah,2014,3615066
Sabah,2015,3551247
Sabah,2016,3540274
Sabah,2017,3540749
Sabah,2018,3540749
Sarawak,2000,0
Sarawak,2001,0
Sarawak,2002,0
Sarawak,2003,4836800
Sarawak,2004,4806300
Sarawak,2005,4779900
Sarawak,2006,4778300
Sarawak,2007,4692900
Sarawak,2008,4681543
Sarawak,2009,4583609
Sarawak,2010,6000000
Sarawak,2011,6000000
Sarawak,2012,4337164
Sarawak,2013,4368066
Sarawak,2014,4352828
Sarawak,2015,4320302
Sarawak,2016,4317939
Sarawak,2017,4274825
Sarawak,2018,4209053
